Rzad_k,Max_Error,RMSE
1,0.010714254084369,0.00495574762659241
2,0.00194838907775563,0.00091743185415895
3,0.00203313071370836,0.000939301295999921
4,0.00203134240174396,0.000938514594125779
5,0.00203011470394776,0.000938006803338609
6,0.00202851121916869,0.000937339503161883
7,0.00202651709464285,0.000936507033886821
8,0.00202412505218619,0.000935506369824913
9,0.00202132787353104,0.000934334959709063
10,0.00201813698000664,0.000932990779782812
11,0.00201303547717191,0.000931470110550607
12,0.00204156858708138,0.000929845320667027
13,0.00222208882380426,0.000927486833378546
14,0.00321674805007699,0.000931649068218755
15,0.00367973106705566,0.000931361369278838
16,0.00683340989360903,0.000995403266047768
17,0.0136019494706729,0.00182053315528206
18,0.0884738236649113,0.00952146004747068
