Rzad_k,Max_Error,RMSE
1,0.0665549253917561,0.0115354141458839
2,0.774336086389695,0.207851839514581
3,0.775052480233313,0.208034409507005
4,0.77488163943957,0.207986682515037
5,0.774709779578615,0.207938691074428
6,0.774537880783498,0.207890688831695
7,0.774365944191032,0.207842676080331
8,0.77419396983791,0.207794652830359
9,0.774021957766195,0.207746619094142
10,0.773849908013119,0.207698574881607
11,0.773677820626745,0.207650520206167
12,0.773505695572879,0.207602455060351
13,0.773333532743607,0.207554380735494
14,6.10424799950801e+120,2.1176844496526e+119
15,Inf,NaN
16,Inf,NaN
17,Inf,NaN
18,Inf,NaN
