k,Method,Max_Error,RMSE
1,Adams_Start,0.0130134672979407,0.00399533751277588
1,Adams_NoStart,0.0130134672979407,0.00399533751277588
1,Adams_NewApp,0.859508255804727,0.684189161773018
1,ddends,0.000720550944311782,0.000104940709053589
2,Adams_Start,0.00407968508002998,0.00184939378267193
2,Adams_NoStart,0.00386153863978578,0.00175626800003401
2,Adams_NewApp,0.855321487928247,0.68092563437084
2,ddends,0.000720550944311782,0.000104940709053589
3,Adams_Start,0.00417469595989939,0.00188140377083405
3,Adams_NoStart,0.00418690579954983,0.00188661610172948
3,Adams_NewApp,0.855321487928249,0.68094282849558
3,ddends,0.000720550944311782,0.000104940709053589
4,Adams_Start,0.00414831349083311,0.00187312103274053
4,Adams_NoStart,0.0041889316463859,0.00189040109665192
4,Adams_NewApp,0.855321487928246,0.680942903394919
4,ddends,0.000720550944311782,0.000104940709053589
5,Adams_Start,0.004332373698827,0.00187059030949887
5,Adams_NoStart,0.00430297782423672,0.00189907186448752
5,Adams_NewApp,0.855321487928248,0.680942903053512
5,ddends,0.000720550944311782,0.000104940709053589
6,Adams_Start,0.00704386407260671,0.00188734378165903
6,Adams_NoStart,0.00699611453549487,0.00192562807551046
6,Adams_NewApp,0.855321487928242,0.680942903086184
6,ddends,0.000720550944311782,0.000104940709053589
7,Adams_Start,0.0105047317750997,0.00196533741106525
7,Adams_NoStart,0.0104350664002295,0.00200843545547918
7,Adams_NewApp,0.855321487928243,0.680942903193559
7,ddends,0.000720550944311782,0.000104940709053589
8,Adams_Start,0.0155992557387448,0.00222810612242268
8,Adams_NoStart,0.0150691282534172,0.00226752284915553
8,Adams_NewApp,0.855321487928233,0.680942903555272
8,ddends,0.000720550944311782,0.000104940709053589
9,Adams_Start,0.0286882481489532,0.00299040403700873
9,Adams_NoStart,0.0268582233293602,0.00310762959065478
9,Adams_NewApp,0.855321487928256,0.680942904805492
9,ddends,0.000720550944311782,0.000104940709053589
10,Adams_Start,0.0552529150480801,0.00509248507672343
10,Adams_NoStart,0.051980783191677,0.00663805530552523
10,Adams_NewApp,0.855321487928266,0.680942909210296
10,ddends,0.000720550944311782,0.000104940709053589
11,Adams_Start,0.0969326530921455,0.0172764167906609
11,Adams_NoStart,0.332344010230087,0.105673857650818
11,Adams_NewApp,0.855321487928188,0.68094292496541
11,ddends,0.000720550944311782,0.000104940709053589
12,Adams_Start,31984402052.0048,3168126371.93674
12,Adams_NoStart,315689769811617,31713893468188.6
12,Adams_NewApp,0.855321487928005,0.680942982002783
12,ddends,0.000720550944311782,0.000104940709053589
