k,Method,Max_Error,RMSE
1,Adams_Start,0.0259365578321686,0.00801042373045383
1,Adams_NoStart,0.0259365578321686,0.00801042373045383
1,Adams_NewApp,0.863708255804727,0.686569748067865
1,ddends,0.000720550944311782,0.000108842065534622
2,Adams_Start,0.00782608489254599,0.00358270618238577
2,Adams_NoStart,0.00695582549381069,0.00321285116225291
2,Adams_NewApp,0.855308255804728,0.680012408221743
2,ddends,0.000720550944311782,0.000108842065534622
3,Adams_Start,0.00820179292665824,0.00370904914973891
3,Adams_NoStart,0.00824485581808432,0.00372736548286126
3,Adams_NewApp,0.855308255804728,0.680080601214664
3,ddends,0.000720550944311782,0.000108842065534622
4,Adams_Start,0.00810001034239249,0.00367730295140094
4,Adams_NoStart,0.00826086749851918,0.00374529911864032
4,Adams_NewApp,0.855308255804724,0.68008120573544
4,ddends,0.000720550944311782,0.000108842065534622
5,Adams_Start,0.00848816730083146,0.00366660482658402
5,Adams_NoStart,0.00837589914773695,0.00377766862656329
5,Adams_NewApp,0.855308255804727,0.680081200457052
5,ddends,0.000720550944311782,0.000108842065534622
6,Adams_Start,0.0137694474976608,0.00372929412825105
6,Adams_NoStart,0.0135866388835857,0.00387423773924736
6,Adams_NewApp,0.855308255804724,0.680081201494354
6,ddends,0.000720550944311782,0.000108842065534622
7,Adams_Start,0.020513963401191,0.00401562997952189
7,Adams_NoStart,0.0202466918293962,0.00417174858516648
7,Adams_NewApp,0.85530825580472,0.680081204928438
7,ddends,0.000720550944311782,0.000108842065534622
8,Adams_Start,0.0299632572979367,0.00494037889947872
8,Adams_NoStart,0.0282820912362518,0.00516700286561427
8,Adams_NewApp,0.855308255804718,0.680081216489443
8,ddends,0.000720550944311782,0.000108842065534622
9,Adams_Start,0.0532713585994491,0.00767777826110648
9,Adams_NoStart,0.0548241463263932,0.00963528446359547
9,Adams_NewApp,0.855308255804729,0.680081256446691
9,ddends,0.000720550944311782,0.000108842065534622
10,Adams_Start,0.102792187039178,0.0223885499205532
10,Adams_NoStart,0.288593736237556,0.106982321933562
10,Adams_NewApp,0.855308255804766,0.680081397227685
10,ddends,0.000720550944311782,0.000108842065534622
11,Adams_Start,3191.0658594176,453.719150536721
11,Adams_NoStart,1827487.21584434,276982.416591901
11,Adams_NewApp,0.855308255804625,0.680081900776908
11,ddends,0.000720550944311782,0.000108842065534622
12,Adams_Start,2661854141771.06,305572325368.774
12,Adams_NoStart,3.78274755675451e+16,4.38388488755258e+15
12,Adams_NewApp,0.855308255804552,0.680083723742351
12,ddends,0.000720550944311782,0.000108842065534622
