k,Method,Max_Error,RMSE
2,Adams_Start,0.00782608489254599,0.00358270618238577
2,Adams_WithoutStart,0.00695582549381069,0.00321285116225291
2,ddends,0.000720550944311782,0.000108842065534622
3,Adams_Start,0.00820179292665912,0.00370904914973989
3,Adams_WithoutStart,0.00824485581809054,0.00372736548286248
3,ddends,0.000720550944311782,0.000108842065534622
4,Adams_Start,0.00810001034239871,0.00367730295140193
4,Adams_WithoutStart,0.00826086749852539,0.00374529911864149
4,ddends,0.000720550944311782,0.000108842065534622
5,Adams_Start,0.00848816730083235,0.00366660482658392
5,Adams_WithoutStart,0.00837589914773607,0.00377766862655834
5,ddends,0.000720550944311782,0.000108842065534622
6,Adams_Start,0.0137694474976613,0.00372929412825047
6,Adams_WithoutStart,0.0135866388835832,0.00387423773924614
6,ddends,0.000720550944311782,0.000108842065534622
