k,Method,Max_Error,RMSE
2,Adams_Start,0.00538649999990071,0.00189520263617827
2,Adams_WithoutStart,0.00538649999990071,0.00189520263617827
2,ddends,1.27897692436818e-13,3.04131146282383e-14
3,Adams_Start,0.000545249999902353,0.000205382721350155
3,Adams_WithoutStart,0.000545249999902353,0.000205382721350155
3,ddends,1.27897692436818e-13,3.04131146282383e-14
4,Adams_Start,0.000524999999939268,0.000195201578933597
4,Adams_WithoutStart,0.000524999999939268,0.000195201578933597
4,ddends,1.27897692436818e-13,3.04131146282383e-14
5,Adams_Start,0.000576250000012379,0.000196978767577145
5,Adams_WithoutStart,0.000576250000012379,0.000196978767577145
5,ddends,1.27897692436818e-13,3.04131146282383e-14
6,Adams_Start,0.000982499999988562,0.000202904167269401
6,Adams_WithoutStart,0.000982499999988562,0.000202904167269401
6,ddends,1.27897692436818e-13,3.04131146282383e-14
