Rzad_k,Max_Error,RMSE
1,7.47228742497256,1.9483727370081
2,0.670816401953005,0.181623025629386
3,0.740902551030501,0.199585135800166
4,0.724711720857698,0.195023604142581
5,0.707537200177342,0.190205868134836
6,0.690316375275302,0.185375981641323
7,0.673060108271699,0.180536821294296
8,0.655768853629894,0.175688571198026
9,0.638442943228739,0.170831393044375
10,0.640027724418417,0.166066749920834
11,4.22203125373642e+16,3.7376243027002e+15
12,9.25811673861056e+41,6.9447814074224e+40
13,5.50631525305824e+64,2.88499276638319e+63
14,5.36969748499122e+84,4.09741457676791e+83
15,2.75035478783204e+103,1.39755182877231e+102
16,3.86272681973921e+120,1.92351526859374e+119
17,3.49646350402346e+135,2.35905059404108e+134
18,2.79876232672278e+150,1.4747975821334e+149
19,7.91224968048398e+163,Inf
