Rzad_k,Max_Error,RMSE
10,0.640027724426062,0.166066749922915
11,4.22203125353527e+16,3.73762430258079e+15
12,9.25811673854657e+41,6.94478140741003e+40
13,5.50631525329535e+64,2.88499276651281e+63
14,5.3696974847056e+84,4.09741457676484e+83
15,2.75035478759195e+103,1.39755182866144e+102
16,3.86272681973921e+120,1.92351526859374e+119
10,0.640027724426062,0.166066749922915
11,4.22203125353527e+16,3.73762430258079e+15
12,9.25811673854657e+41,6.94478140741003e+40
13,5.50631525329535e+64,2.88499276651281e+63
14,5.3696974847056e+84,4.09741457676484e+83
15,2.75035478759195e+103,1.39755182866144e+102
16,3.86272681973921e+120,1.92351526859374e+119
